pid,epsilon,alpha,cr,cr_realized,file_bytes,r2_wheel,balanced_accuracy_choice,null_choice,balanced_accuracy_feedback,null_feedback
1a276285-8b0e-4cc9-9f0a-a3a002978724,250.0,55.0,149.1506550587854,100.23763175609332,19044660,0.1278236834546168,0.5005847953216375,0.4990400541487497,0.5042403647875461,0.4998468494468496
1a276285-8b0e-4cc9-9f0a-a3a002978724,250.0,75.0,164.24823935812543,106.87182803693112,17862440,0.1200626672040723,0.4989035087719298,0.4998702686202687,0.4979959919839679,0.4996462962962962
1a276285-8b0e-4cc9-9f0a-a3a002978724,250.0,96.0,175.7060036246409,115.40494169878755,16541680,0.1145998737270717,0.5027777777777778,0.4994826007326008,0.500617176381749,0.5004222222222222
1a276285-8b0e-4cc9-9f0a-a3a002978724,300.0,14.0,80.31372196059426,59.12609989276107,32286784,0.1326386763375732,0.5044590643274854,0.4998219594415246,0.5495701548023584,0.4969093554593554
1a276285-8b0e-4cc9-9f0a-a3a002978724,300.0,40.0,140.0296274301335,95.9700503757,19891535,0.1315633113922275,0.4989035087719298,0.5002579365079365,0.5183482907844674,0.5016053391053392
1a276285-8b0e-4cc9-9f0a-a3a002978724,300.0,55.0,157.76486819497276,103.8833901919174,18376293,0.1278425656847598,0.5005847953216375,0.4996215559802516,0.5042403647875461,0.5000942520442521
1a276285-8b0e-4cc9-9f0a-a3a002978724,300.0,75.0,174.75348540100578,111.02423863441796,17194368,0.1200573269610351,0.4989035087719298,0.4998702686202687,0.4979959919839679,0.5008222222222222
1a276285-8b0e-4cc9-9f0a-a3a002978724,300.0,96.0,187.78460889832945,120.261705235313,15873645,0.1147202895818737,0.5027777777777778,0.4998702686202687,0.500617176381749,0.5001936507936509
1a276285-8b0e-4cc9-9f0a-a3a002978724,350.0,14.0,82.59579133716286,60.29743017793821,31659585,0.1316610434767532,0.5033625730994152,0.4998872564633434,0.5324562167813889,0.5006474266474267
1a276285-8b0e-4cc9-9f0a-a3a002978724,350.0,28.0,123.67875549366263,85.58057060569298,22306367,0.1329034854781157,0.5016812865497077,0.5001449275362319,0.5475661467863263,0.5025945406445407
1a276285-8b0e-4cc9-9f0a-a3a002978724,350.0,40.0,145.36200911865487,98.16233117894608,19447293,0.1314619142242764,0.4989035087719298,0.4996764346764347,0.5171139380209695,0.4988524531024531
1a276285-8b0e-4cc9-9f0a-a3a002978724,350.0,55.0,164.49929641013648,106.4379055314556,17935261,0.1278017190731937,0.5005847953216375,0.4994253331209852,0.5042403647875461,0.4994065175565175
1a276285-8b0e-4cc9-9f0a-a3a002978724,350.0,96.0,197.32388984770856,123.6929002166482,15433316,0.1147292509067114,0.5027777777777778,0.5006456043956043,0.500617176381749,0.4985539682539682
1a276285-8b0e-4cc9-9f0a-a3a002978724,450.0,14.0,90.97125982008282,64.8413684448791,29440952,0.13185770616841,0.5016812865497077,0.5003220390720391,0.537930934332433,0.4994209716209717
1a276285-8b0e-4cc9-9f0a-a3a002978724,450.0,40.0,163.1991327722047,105.42247294485192,18108014,0.1302421990123561,0.5,0.5,0.5127210943626384,0.5006623376623377
1a276285-8b0e-4cc9-9f0a-a3a002978724,450.0,55.0,187.3744186414052,114.87334186613136,16618230,0.1273299599428836,0.5005847953216375,0.5003933083824388,0.4979959919839679,0.500587037037037
1a276285-8b0e-4cc9-9f0a-a3a002978724,450.0,75.0,211.66822555735524,123.64560772147864,15439219,0.1198691622941576,0.4989035087719298,0.5008394383394383,0.4979959919839679,0.4998814814814815
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,50.0,14.0,51.869872257432235,41.317224378601615,48958608,0.0461951201508229,0.5376308418104083,0.4996083395383471,0.5695481691500272,0.4986437972801609
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,50.0,28.0,68.67321304157107,54.03680751236918,37434369,0.0400089264237093,0.5338198437269644,0.4963328369322412,0.5423478313325693,0.4974539223402858
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,50.0,40.0,76.41323608912505,59.80662135280093,33822907,0.0397293517826354,0.5707098628925255,0.503097635889799,0.5597695602340592,0.5001684048274958
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,50.0,55.0,81.72581612407892,62.89615839866096,32161484,0.0365740231807193,0.5445599292348517,0.4942553983618763,0.5141159437775231,0.5000171083125629
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,50.0,75.0,85.31433626435371,66.33806431792259,30492807,0.0322950811282075,0.539764853309745,0.4967661950856292,0.5056463775110093,0.4996388123660851
